RespondentID,theta_true
R1,-0.7931224751578991
R2,0.24057128353827487
R3,-1.8963263495990657
R4,1.3957717101086942
R5,0.6382947409282153
R6,-0.29204748521936347
R7,-0.31194932819017573
R8,0.30383536777881237
R9,-0.2676603022043396
R10,-0.2259088611632136
R11,0.7200678200091131
R12,0.5147052057737699
R13,-0.06412793563418305
R14,-0.08547656318586194
R15,0.16091632266564457
R16,-0.6140183945189056
R17,-0.4037502646562769
R18,0.5482601802064181
R19,-0.1304827931408637
R20,-1.3744261756767235
R21,-0.47727871963320684
R22,0.6566216052935377
R23,-0.23228277208327797
R24,-0.14873281023632337
R25,0.6418366281712384
R26,1.8246103049154356
R27,-0.7131886718682877
R28,1.3482068134340977
R29,-1.2300127753398604
R30,0.17497762274037393
R31,-1.1695295195123863
R32,1.351458184504187
R33,0.8339229967182518
R34,1.1377167846550682
R35,-0.8855331545554961
R36,0.6845550254847351
R37,-0.5190133298294971
R38,-0.45738531115194264
R39,0.5065370793987306
R40,0.8767181724687065
R41,0.20442021540537625
R42,-0.6279871010105986
R43,-0.8258165208830098
R44,1.4443170258252331
R45,0.5939459107122969
R46,0.7197279364283922
R47,2.1834881427128314
R48,-0.8158629486356607
R49,2.5594577984058473
R50,3.15090813353985
R51,1.6184131202601322
R52,0.8271065315552476
R53,-0.663821954890323
R54,0.9944856278202228
R55,-0.4426921491035081
R56,-0.021650789789891167
R57,-0.29043317738973956
R58,0.2838299564910305
R59,1.2880777154433913
R60,-0.5555840578664938
R61,-0.9854038336302882
R62,-1.0029565517494774
R63,-0.9682773272178793
R64,-1.4311029837963556
R65,-0.9129340749393138
R66,1.2932656165144563
R67,-0.5933119682389986
R68,0.25710765788638085
R69,-1.216893966089114
R70,0.16965057990044394
R71,-1.7407814485295512
R72,-0.6987558974796816
R73,2.25453892712826
R74,-0.5829696909767876
R75,1.1199763853913791
R76,0.4550541251212029
R77,-0.15298577722473797
R78,-0.6521068213049493
R79,1.2869093984134494
R80,-0.1773834594028799
R81,1.527424478271748
R82,-0.7190790299943703
R83,0.057338987391204396
R84,0.4654991267904626
R85,0.37316017302818355
R86,-1.2338015118488639
R87,-0.6640627324429782
R88,-0.19598021336613813
R89,-0.8536993093242442
R90,0.6773251088800409
R91,0.588019181358798
R92,-1.957084454178259
R93,-1.8052540712733376
R94,-1.2815632768197962
R95,0.11725953014640239
R96,2.0331725300388053
R97,-0.38235645046791567
R98,0.2506505498829739
R99,-1.063111704919622
R100,-1.0468362159236777
R101,-1.9572278146894229
R102,-0.028344247724271864
R103,0.9472166828226635
